Token,Freq
facebook,2806
data,2186
cambridge,969
analytica,710
company,506
users,438
people,430
information,407
campaign,298
trump,258
app,242
privacy,235
2018,208
political,174
kogan,171
new,162
social,157
zuckerberg,154
could,154
nix,147
august,144
wylie,136
one,136
also,135
facebooks,126
media,121
news,121
firm,121
apps,117
business,115
mr.,112
time,112
platform,111
advertising,110
work,98
think,96
google,94
use,92
former,91
user,90
years,88
committee,88
used,88
companies,87
statement,80
going,79
industry,78
u.s.,77
september,76
election,76
content,75
ftc,75
ads,75
world,75
well,73
n't,72
digital,67
2016,65
last,65
president,64
week,64
friends,63
eprivacy,61
know,60
million,59
research,58
online,58
scl,56
afp/getty,56
says,55
access,54
see,54
gsr,53
times,53
soros,52
developers,52
get,51
email,51
much,51
first,50
employees,49
android,49
consent,47
mercer,46
profiles,46
whether,45
settings,44
marketing,44
call,44
tech,43
many,43
london,42
russian,42
youtube,41
thats,40
united,40
worked,40
look,39
blockchain,38
states,38
including,38
right,38
every,37
officials,37
mark,37
big,37
year,36
2014,36
take,36
breach,35
public,35
without,35
ford,35
parliament,34
need,34
elections,34
voters,34
things,34
bannon,34
based,33
european,33
team,32
apple,32
private,32
market,32
didnt,32
lot,32
investigation,32
dont,32
party,32
reports,31
minister,31
white,31
lobby,31
phone,30
control,30
democracy,30
might,30
since,30
different,30
youre,30
politics,30
lobbyists,29
according,29
power,29
security,29
make,28
day,28
really,28
york,28
documents,28
amazon,28
using,28
text,27
trying,27
report,27
plus,27
policies,26
protection,26
reuters,26
state,26
police,26
wall,26
corporate,26
way,26
britain,26
theres,25
court,25
youve,25
good,25
internet,25
campaigns,25
europe,25
asked,25
researchers,25
cook,24
click,24
brexit,24
never,24
another,24
opt-out,24
commission,24
meeting,24
rules,24
war,24
law,23
final,23
letter,23
weve,23
target,23
meps,23
national,23
want,23
percent,23
epa,22
parakilas,22
may,22
america,22
proposal,22
actually,22
brand,22
list,21
container,21
network,21
future,21
're,21
publishers,21
russia,21
republicans,21
freedom,21
video,20
change,20
two,20
mean,20
decree,20
california,20
current,19
kavanaugh,19
rights,19
prime,19
member,19
scientists,19
theyre,19
models,19
great,18
collection,18
mar,18
timeline,18
british,18
american,18
service,18
jst,18
northern,18
cow,18
fire,18
journal,18
previously,18
getty,18
psychographics,18
videos,18
posts,18
meetings,17
decentralized,17
today,17
2017,17
1956,17
got,17
personality,17
ethical,17
observer,17
alexander,17
academic,17
part,17
twitter,17
back,17
leader,17
science,17
street,16
reported,16
history,16
man,16
republican,16
university,16
revenue,16
question,16
vote,16
regulation,16
korea,16
photos,16
cant,16
whatsapp,16
england,16
north,16
stamos,15
commissioner,15
huge,15
needs,15
kosinski,15
group,15
went,15
added,15
review,15
dr.,15
trade,15
secretary,15
leaked,15
contractors,15
source,15
add,15
around,15
attorney,15
donald,15
conservative,15
deleted,15
long,15
made,15
problem,15
protest,14
myanmar,14
fake,14
communications,14
lobbying,14
house,14
robert,14
testify,14
system,14
executives,14
knowledge,14
told,14
likes,14
kim,14
human,14
labour,14
government,14
done,14
permission,14
snapchat,14
monday,14
included,14
involved,13
working,13
mozilla,13
companys,13
palantir,13
help,13
paper,13
ferguson,13
advertisers,13
free,13
story,13
iab,13
debate,13
ever,13
away,13
received,13
trumps,13
better,13
ive,13
advertisements,13
...,13
press,13
support,13
positions,12
small,12
gdpr,12
example,12
india,12
council,12
ceremony,12
sunday,12
grewal,12
late,12
washington,12
records,12
+/-,12
lauristin,12
care,12
south,12
interests,12
johnson,12
board,12
country,12
viewed,12
able,12
channel,12
fact,12
emails,12
psychographic,12
expected,12
bill,12
site,12
lukoil,12
partners,12
left,12
yet,12
getupside,12
deal,12
leak,12
select,12
googles,12
friday,12
shown,12
microsoft,12
bolton,12
indian,11
music,11
scam,11
give,11
2012,11
standard,11
hillary,11
project,11
skinner,11
inc.,11
democrats,11
clicker,11
please,11
probably,11
key,11
rapporteur,11
test,11
hearing,11
milner,11
telecoms,11
women,10
acxiom,10
instagram,10
khan,10
military,10
something,10
podesta,10
labor,10
logs,10
draft,10
analytics,10
dossier,10
meme,10
korean,10
commissions,10
oettinger,10
incident,10
address,10
community,10
cancel,10
box,10
search,10
weeks,10
underground,10
tracking,10
briefings,10
libe,10
home,10
ansip,10
processing,10
proposals,10
economic,10
department,10
crimson,9
sellers,9
behaviour,9
obtained,9
action,9
bob,9
changes,9
stated,9
word,9
provide,9
personal,9
wealthy,9
found,9
messenger,9
pentland,9
colleagues,9
zuckerbergs,9
built,9
agreed,9
allegation,9
culture,9
terms,9
best,9
techniques,9
recently,9
agencies,9
technology,9
declined,9
eisenhower,9
provisions,9
game,9
traits,9
strategic,9
experian,9
article,9
census,9
citizens,9
real,9
collected,9
counsel,9
general,9
archive,9
details,9
and/or,9
caused,8
outside,8
winning,8
blue,8
consumers,8
theresa,8
earthquake,8
brightline,8
love,8
type,8
aware,8
account,8
printing,8
friendfeed,8
december,8
profile,8
brett,8
damaged,8
held,8
permissions,8
heavy,8
idea,8
society,8
announced,8
third-party,8
members,8
card,8
days,8
feel,8
city,8
park,8
nations,8
forces,8
province,8
track,8
points,8
manchester,8
fifth,8
hit,8
kind,8
teams,8
approach,8
due,8
dozens,8
air,8
database,8
model,8
storage,8
firefox,8
match,8
judiciary,8
emma,8
scandal,8
trust,8
contacts,8
equal,8
electoral,8
messaging,8
billion,8
delivery,8
authority,8
limit,8
gould,8
camp,8
men,8
daily,8
'll,8
farhan,7
dollar,7
looking,7
certainly,7
kleiman,7
bubbled,7
try,7
nothing,7
appear,7
find,7
microtargeting,7
full,7
commercial,7
mep,7
others,7
survey,7
u.k.,7
fbi,7
high-speed,7
clicking,7
share,7
pasquet,7
extension,7
car,7
learn,7
subsequently,7
words,7
office,7
isnt,7
clinton,7
front,7
lobbies,7
incentives,7
messages,7
societies,7
lin,7
sherman,7
drive,7
consumer,7
personalise,7
sure,7
reporters,7
analytical,7
threats,7
however,7
games,7
comment,7
tuesday,7
simply,7
strategy,7
gas,7
contexts,7
behavior,7
personalisation,7
administration,7
speech,7
reporting,7
pro-privacy,7
fusion,7
addresses,7
web,7
adsense,7
read,7
listening,7
personalized,7
collect,7
refugees,7
dead,7
hurricane,7
process,7
wouldnt,7
location,7
documentary,7
whats,7
image,7
computational,7
offer,7
examine,7
approval,7
removed,7
myopia,7
mailing,7
websites,7
came,7
brokers,7
month,6
winds,6
children,6
turkish,6
send,6
lawmakers,6
division,6
risk,6
vegas,6
categories,6
school,6
sen.,6
midterm,6
race,6
cookies,6
employing,6
phones,6
fedma,6
past,6
across,6
second,6
download,6
hate,6
firms,6
celebrates,6
reporter,6
guardian,6
french,6
hundreds,6
groups,6
daughter,6
canadian,6
opinion,6
deputy,6
win,6
psychological,6
api,6
post,6
illegal,6
sports,6
amazons,6
therefore,6
vehicle,6
australian,6
train,6
behalf,6
must,6
customer,6
high,6
include,6
abortion,6
lazer,6
claim,6
months,6
purposes,6
allowed,6
galbraith,6
mueller,6
coming,6
revealed,6
response,6
third,6
celebrations,6
acknowledged,6
headquarters,6
e-commerce,6
chief,6
responsibility,6
block,6
democratic,6
mayor,6
interesting,6
policy,6
puerto,6
2010,6
2013,6
seeking,6
ceo,6
scene,6
investor,6
gets,6
name,6
weather,6
eyeballs,6
edri,6
wnyc,6
saturday,6
lapowsky,6
large,6
interference,6
mercers,6
civil,6
put,6
river,6
district,6
keep,6
view,6
cuccinelli,6
powerful,6
number,6
americans,6
reached,6
management,6
interviews,6
least,6
john,6
friend,6
took,6
typhoon,6
manipulation,6
believe,6
roles,6
buzzfeed,6
orwell,6
collecting,6
talking,6
person,6
agency,6
contact,6
practices,6
build,6
centre,6
paid,6
abc,6
phase,6
southampton,6
especially,6
clear,6
later,6
voting,6
laws,6
selection,6
violation,6
probe,6
adviser,6
underpants,6
unions,6
rico,6
