Token,Freq
eclipse,5373
sun,1637
moon,1001
totality,942
glasses,726
people,696
path,627
aug.,559
time,505
event,482
oregon,441
minutes,418
eclipses,411
earth,357
day,343
â,317
states,315
sky,313
images,284
years,281
shadow,274
â,266
city,250
monday,242
university,227
park,227
times,225
state,225
nasa,223
science,221
p.m.,211
way,211
photo,210
light,210
area,199
coast,198
eye,197
country,191
carolina,191
corona,191
camera,187
seconds,186
illinois,178
point,175
miles,173
eyes,171
darkness,169
space,168
solar,167
today,164
scientists,160
weather,160
part,159
telescope,155
u.s.,155
center,155
place,154
filter,153
experience,150
view,150
image,149
filters,149
charleston,148
percent,148
location,143
something,137
world,134
america,133
flight,130
night,129
traffic,126
viewers,125
viewing,122
power,122
telescopes,122
visitors,120
spot,119
hours,118
clouds,116
astronomers,113
days,109
astronomer,108
news,108
year,105
salem,104
idaho,104
safety,104
line,103
makanda,99
paper,97
home,97
festival,95
surface,95
areas,95
parts,95
observatory,94
ground,94
events,94
thousands,94
life,93
history,93
animals,92
cameras,92
students,92
morning,91
society,90
skies,89
party,89
mark,89
hopkinsville,88
ore.,88
town,88
carbondale,86
millions,86
video,85
moment,85
york,85
land,84
s.c.,84
astronomy,84
damage,83
binoculars,83
wednesday,82
number,82
march,82
others,82
network,80
stars,80
system,79
coverage,78
museum,78
stories,78
lot,77
protection,77
front,77
data,75
look,75
map,75
california,75
school,75
scott,75
college,75
things,74
photos,74
a.m.,74
island,74
experts,74
hotel,74
size,73
project,73
planet,72
ring,71
team,71
vision,71
places,71
air,71
field,71
person,70
beach,70
end,69
sunglasses,69
total,68
phenomenon,68
president,68
madras,68
information,65
washington,65
share,65
company,64
exposure,64
thing,64
schools,63
chance,63
itâs,63
story,63
crowds,63
olson,63
one,62
side,62
site,62
energy,62
lens,62
director,62
plane,61
august,61
nation,60
st.,60
farm,60
ill.,60
pair,60
ocean,60
missouri,60
everyone,60
stadium,59
opportunity,59
pacific,59
duration,58
dr.,58
months,57
locations,57
century,57
casper,57
tennessee,57
researchers,56
officials,56
road,56
crowd,55
research,55
face,55
caption,55
moonâs,55
behavior,55
edge,55
press,55
wyoming,54
smartphone,54
everything,54
kind,54
hole,53
eddington,53
hand,53
online,53
louis,53
tips,53
group,53
hour,53
sunâs,53
list,53
theory,52
professor,52
sign,52
atmosphere,52
shop,52
chasers,52
pasachoff,52
feet,52
minute,51
plans,51
order,51
room,51
degrees,50
spectacle,50
week,50
photography,50
trump,50
cities,50
county,49
car,49
health,49
experiment,49
children,49
lenses,49
mountains,49
retina,48
half,48
espenak,48
americans,48
middle,47
institute,47
grid,47
street,47
water,47
travel,46
drive,46
cover,46
columbia,46
hotels,46
forest,46
questions,46
rest,45
test,45
house,45
gas,45
changes,45
sunlight,45
ones,45
dark,44
anything,44
afternoon,44
man,44
intensity,44
head,44
music,43
dardis,43
course,43
fire,43
food,43
department,43
balloons,43
show,43
planetarium,43
portland,43
kentucky,43
chou,42
humphrey,42
lights,42
film,42
orchard,42
astrophysicist,42
book,42
pairs,41
angeles,41
john,41
contact,41
cloud,41
outer,41
library,41
website,41
rays,41
georgia,41
use,41
equipment,40
family,40
airlines,40
south,40
phone,40
disk,40
scientist,40
west,39
sense,39
courtesy,39
indonesia,39
weeks,39
jackson,39
crow,39
alaska,39
region,39
temperature,39
customers,39
universe,39
fienberg,38
spots,38
birds,38
orbit,38
campus,38
anyone,38
idea,38
zone,38
glass,37
residents,37
viewer,37
television,37
cruise,37
guests,37
study,37
back,37
valley,37
reports,36
example,36
summer,36
matter,36
watchers,36
work,36
month,36
technology,36
nashville,36
ways,36
agency,36
cross,36
passengers,35
moons,35
highway,35
community,35
band,35
article,35
carson,35
file,35
public,35
wyo,35
wind,35
iphone,35
couple,34
fact,34
observations,34
cars,34
diamond,34
lunar,34
phases,34
nothing,34
july,34
river,33
excitement,33
standard,33
guide,33
views,33
sites,33
tripod,33
amazon,33
chaser,33
â,33
tenn.,33
hundreds,33
donald,33
falls,33
friday,33
result,32
panels,32
parties,32
aas,32
plan,32
volunteers,32
conditions,32
einstein,32
effect,32
page,32
points,32
pinhole,32
focus,32
ky.,32
parking,32
kentrianakis,31
models,31
david,31
dozens,31
device,31
studio,31
reason,31
cardboard,31
kilometers,31
radio,31
shots,31
trip,31
activities,31
options,31
libraries,31
vendors,31
orange,31
series,30
photographers,30
crossroads,30
period,30
davis,30
roads,30
smoky,30
fairgrounds,30
start,30
amount,30
manager,30
box,30
members,30
top,30
plenty,30
name,30
movie,30
prairie,30
art,30
service,29
screen,29
campsite,29
plant,29
nature,29
owner,29
rooftop,29
âit,29
ticket,29
montana,29
star,29
shot,29
africa,29
optics,29
chicago,29
parks,29
watch,29
baseball,29
metropolis,29
projector,29
range,29
peace,29
jet,28
arch,28
cate,28
station,28
game,28
kansas,28
route,28
tourists,28
iso,28
beck,28
weekend,28
strip,28
maps,28
campgrounds,28
case,28
politics,28
wife,28
smartphones,28
robyn,28
passes,28
app,28
thatâs,28
clemson,28
pass,27
sea,27
europe,27
holes,27
business,27
systems,27
police,27
north,27
piece,27
reservations,27
