Token,Freq
said,949
see,713
get,388
watch,323
viewing,306
look,260
seen,241
says,227
make,224
take,223
view,220
going,193
need,186
â,169
looking,166
know,164
experience,162
want,151
use,143
according,139
including,123
using,118
made,110
expected,109
come,106
're,105
find,104
set,101
observe,98
say,97
left,94
used,94
put,92
called,89
think,86
watching,82
expect,81
help,80
coming,79
witness,79
happen,78
told,77
known,76
begins,75
covered,75
south,75
shows,73
sold,72
keep,72
show,71
got,70
blocked,69
saw,66
taking,65
pass,65
try,65
cross,65
came,64
donât,63
watched,63
occur,62
published,62
start,62
enjoy,61
travel,61
receive,60
located,60
live,59
takes,59
plan,59
block,59
began,58
include,57
appears,56
appear,55
trying,55
planning,55
've,54
seeing,53
found,52
experienced,52
making,51
provided,51
prepare,51
moving,51
bring,51
makes,50
stay,50
provide,49
looks,48
gets,48
happens,48
hosting,47
gathered,47
witnessed,46
eclipse,45
ky.,45
host,45
preparing,45
buy,45
cause,44
obscured,44
give,43
damage,43
given,43
comes,43
cover,43
sweep,43
capture,43
getting,43
call,42
starts,42
covers,42
happening,42
read,42
occurs,42
wearing,41
photograph,41
created,40
took,40
driving,39
protect,39
taken,39
falls,39
led,39
flying,38
remember,38
turn,38
feel,38
create,38
showing,38
meet,38
move,38
viewed,38
based,38
offer,37
includes,37
leading,37
means,37
hold,36
ran,36
begin,36
observing,36
learn,36
consider,35
reported,35
check,35
looked,35
stand,35
beginning,35
wonât,35
allow,35
tell,34
run,34
waiting,34
become,34
study,33
pointed,33
turned,33
drive,33
images,33
cut,33
â,33
work,32
wear,32
planned,32
asked,32
goes,32
plans,32
miss,32
traveling,32
let,32
organized,31
catch,31
open,31
staring,31
passed,31
end,30
leave,30
explains,30
expecting,30
eclipsed,30
lens,30
blocks,30
thought,30
booked,29
follow,29
produced,29
certified,28
itâs,28
traveled,28
giving,28
started,28
went,27
project,27
decided,27
ensure,27
held,27
added,27
hit,27
lasts,27
covering,26
felt,26
designed,26
wyoming,26
ask,26
photographing,26
wrote,26
passing,26
recommended,25
ending,25
visit,25
knew,25
understand,25
starting,25
selling,25
became,25
observed,25
affect,24
affected,24
causing,24
spend,24
holding,24
sign,24
recommends,24
aug.,24
hoping,24
depending,24
arrived,24
damaged,23
wanted,23
setting,23
watches,23
built,23
sponsored,23
chase,23
answer,22
dr.,22
gather,22
appeared,22
change,22
ended,22
predicted,22
document,22
done,22
reach,22
posted,22
leaving,22
crosses,22
related,22
happened,22
lose,22
record,22
shooting,22
updated,21
canât,21
uses,21
fell,21
predict,21
occurred,21
running,21
pull,21
moves,21
travels,21
passes,21
sets,21
react,21
spent,21
attract,20
needed,20
seem,20
head,20
fly,20
offers,20
celebrate,20
track,20
youâre,20
described,20
witnessing,20
lost,20
prepared,20
send,20
glasses,20
heading,19
hide,19
talking,19
leaves,19
turns,19
filled,19
allowed,19
charleston,19
recalled,19
moved,19
fred,19
purchased,19
reporting,19
believed,19
standing,19
stop,19
announced,19
surrounding,18
brought,18
fall,18
bracing,18
rolled,18
snap,18
produce,18
offering,18
stopped,18
projected,18
remove,18
handheld,18
experiencing,18
bend,18
closed,18
ends,18
shining,17
blocking,17
expects,17
tried,17
hope,17
drop,17
inspired,17
advised,17
stands,17
close,17
seemed,17
focused,17
suggests,17
attend,17
flocking,17
changed,16
turning,16
showed,16
dave,16
waits,16
hear,16
cost,16
prove,16
place,16
reveal,16
camping,16
offered,16
allowing,16
pick,16
rises,16
conducted,16
treated,16
picked,16
manage,16
crossing,16
ill.,15
shoot,15
join,15
features,15
wears,15
focus,15
working,15
gives,15
considered,15
headed,15
discovered,15
flocked,15
lasting,15
darken,15
flock,15
darkens,15
visiting,15
remaining,15
s.c.,15
named,15
holds,15
views,15
point,15
add,15
extends,15
estimated,14
recommend,14
sees,14
swept,14
clingmans,14
marking,14
wait,14
oregon,14
staying,14
wasnât,14
drove,14
cast,14
captured,14
gaze,14
allows,14
missed,14
play,14
feared,14
creating,14
ga.,14
collect,14
putting,14
stream,14
crossed,14
following,14
bought,14
walk,14
sits,14
works,14
gave,14
demonstrate,14
remains,14
explained,13
participate,13
runs,13
puts,13
worked,13
throwing,13
burn,13
disappeared,13
advises,13
scratched,13
talk,13
opened,13
sells,13
worry,13
pay,13
seems,13
provides,13
burning,13
determine,13
stare,13
forget,13
causes,13
calling,13
born,13
continue,13
coincides,13
helps,13
sent,13
adjust,13
realize,13
stationed,13
obscure,13
hereâs,13
eat,13
bringing,12
warn,12
avoid,12
commemorate,12
mean,12
coast,12
result,12
disappears,12
disappear,12
east,12
living,12
shown,12
printed,12
worried,12
combined,12
stood,12
learned,12
stretching,12
didnât,12
shared,12
lives,12
scheduled,12
concerned,12
reserved,12
noticed,12
written,12
overlapping,12
lasted,12
enhance,11
met,11
sitting,11
represents,11
assured,11
respond,11
photographed,11
