Token,Freq
said,9335
used,3931
facebook,2753
use,2642
make,2482
get,2334
using,2256
know,2205
see,2141
says,1964
want,1843
according,1843
take,1822
including,1728
made,1677
think,1669
told,1598
going,1451
need,1423
called,1386
say,1307
find,1237
help,1153
worked,1116
give,1112
asked,1101
based,1083
given,1002
reported,993
found,982
shared,976
're,976
collected,960
working,924
deleted,894
come,890
wrote,885
keep,880
protect,878
dont,876
target,852
put,851
've,829
delete,816
allowed,806
saying,803
read,801
took,780
done,776
set,765
making,755
taken,749
work,747
comes,725
got,724
provided,723
become,714
provide,710
announced,708
cambridge,695
added,695
obtained,691
harvested,688
understand,678
create,677
makes,652
look,645
following,643
build,639
collect,639
received,639
testify,638
looking,626
built,624
came,609
created,608
taking,603
suspended,590
seen,588
sharing,581
let,570
appear,563
believe,563
getting,559
published,553
gave,549
leave,547
helped,540
trying,539
change,537
went,536
influence,529
paid,529
stop,528
violated,520
allow,518
known,517
sent,512
seems,510
involved,501
means,489
left,487
started,480
revealed,475
turn,471
tell,464
show,464
include,464
run,459
facebooks,459
sell,457
giving,451
targeting,449
ensure,449
knew,447
ask,441
follow,441
didnt,440
try,433
became,432
happened,428
hired,427
investigating,425
send,424
sold,424
uses,421
learned,420
asking,415
download,415
wanted,414
claimed,411
pay,410
start,406
posted,405
call,401
targeted,399
continue,390
downloaded,385
began,381
turned,378
agreed,378
collecting,377
denied,374
data,374
wants,372
agree,367
included,365
prevent,363
named,363
accused,362
lost,362
feel,360
appears,355
cant,353
control,351
theres,351
held,349
allows,346
click,344
required,343
growing,342
answer,341
buy,341
confirmed,339
designed,339
coming,338
knows,336
described,333
happen,331
failed,327
offered,326
mean,325
hold,323
takes,323
respond,321
saw,321
learn,321
spent,320
calling,319
includes,318
allowing,318
changed,317
connected,313
passed,312
led,311
running,311
works,311
donald,307
thought,307
creating,307
check,306
selling,305
needs,304
developed,303
explain,302
goes,302
receive,301
gained,298
launched,298
determine,297
investigate,296
played,294
offer,289
raised,288
destroyed,288
consider,287
shows,287
written,287
add,287
talking,284
trump,284
tracking,282
sign,281
acquired,281
broke,280
win,280
stored,279
released,279
needed,277
decided,277
identify,277
regarding,276
removed,276
misused,275
support,274
reach,273
bring,271
continues,270
protecting,270
explained,268
heard,268
track,268
please,265
alleged,264
gathered,263
seem,263
declined,263
signed,262
gives,262
facing,261
choose,260
adding,259
expect,258
remember,256
exploited,256
deleting,255
building,254
expected,254
live,252
require,251
fell,251
harvest,249
leading,248
provides,246
log,245
seeking,245
showed,244
obtain,244
