Retrieving list of stopwords...
Reading Input JSON...
Done loading json!
Merging Results...
Done merging results...
Final Results: 
facebook 28328
data 20757
cambridge 7044
analytica 5598
information 5303
people 3972
users 3795
company 3659
campaign 2910
privacy 2885
trump 2669
social 2028
n't 1928
app 1889
one 1879
also 1775
use 1771
zuckerberg 1723
new 1602
news 1588
political 1552
media 1546
time 1181
apps 1150
could 1115
google 1093
election 1060
used 1004
companies 952
wylie 896
access 896
ads 880
kogan 835
account 830
personal 825
firm 811
user 810
facebooks 797
friends 784
... 722
may 717
get 710
online 700
says 695
see 691
digital 682
work 663
make 654
advertising 650
know 648
world 634
party 631
2016 608
mr. 603
many 601
way 598
think 592
want 585
president 555
ftc 554
obama 536
research 534
nix 527
much 527
content 523
u.s. 519
well 518
phone 515
business 504
settings 499
voters 499
russian 498
platform 494
years 465
first 462
public 459
security 434
million 434
twitter 433
scl 431
really 430
're 430
every 426
committee 426
call 424
using 423
government 416
group 406
apple 405
internet 401
post 390
've 386
mercer 381
need 381
android 381
money 380
2017 375
type 361
law 353
year 352
marketing 347
right 346
service 340
campaigns 330
tech 329
percent 328
going 317
email 315
technology 314
team 309
network 308
told 302
clinton 296
2018 296
palantir 295
services 294
two 293
former 289
dont 289
click 289
fake 288
bannon 287
delete 287
things 284
last 281
back 281
profile 278
breach 276
posts 268
big 268
text 266
system 262
made 254
elections 249
take 249
market 246
day 244
share 243
example 242
story 239
never 238
russia 234
might 232
based 232
brexit 231
history 228
india 228
must 227
book 225
according 224
site 223
office 222
vote 222
good 222
different 222
consent 221
free 217
without 217
investigation 215
video 215
consumer 214
advertisers 213
something 213
list 210
set 210
groups 209
stamos 207
protection 206
profiles 206
developers 206
white 205
field 203
another 202
billion 201
trust 200
jun 199
times 195
personality 193
industry 192
donald 192
control 192
house 190
trumps 190
contacts 189
lot 188
statement 188
including 187
liberal 186
private 186
graphql 185
value 185
article 184
minister 184
general 184
since 181
read 181
whatsapp 180
accounts 180
change 179
amazon 178
report 178
analytics 177
search 177
consumers 176
united 176
policy 175
states 175
whether 175
name 174
knowledge 174
center 174
website 173
power 172
help 172
state 172
european 171
british 171
messenger 168
week 167
case 167
target 166
software 166
find 164
march 164
youre 163
ever 162
around 161
thats 161
national 160
thing 158
mark 158
person 158
platforms 158
parscale 157
monday 157
long 155
intelligence 155
look 155
august 154
leave 153
called 153
however 153
evidence 151
june 150
container 150
part 149
web 149
rights 148
page 148
stock 147
corporate 146
rules 146
point 146
give 145
working 143
federal 143
foreign 143
members 142
london 141
targeting 141
cookies 141
police 141
kushner 140
kosinski 140
politics 139
gdpr 139
youve 139
robert 138
customers 138
file 137
actually 137
support 136
idea 136
cruz 135
getty 134
within 132
instagram 131
http 131
surveillance 130
congress 130
voter 128
trade 128
britain 128
commission 127
pay 127
fox 126
found 126
gsr 126
download 126
democracy 126
ceo 125
court 125
friend 124
worked 124
future 124
meeting 124
others 124
sites 122
mercers 121
university 121
number 121
reports 120
commissioner 119
conservative 118
2012 118
problem 118
already 117
result 117
sure 116
presidential 116
comment 116
washington 116
cook 115
types 114
records 114
browser 114
tracking 114
parties 114
chief 114
product 113
labour 113
links 113
financial 112
best 112
great 112
republican 112
2014 112
life 111
buzzfeed 111
prime 111
labor 111
aggregateiq 110
timeline 110
american 110
likely 109
roberts 109
mobile 108
input 108
york 108
tools 107
fields 106
away 106
director 105
always 104
thiel 104
got 103
source 102
photo 101
leader 101
channel 101
later 101
websites 101
project 100
legal 100
devices 99
hillary 99
someone 99
tax 99
employees 98
deal 98
september 98
often 98
shared 97
propaganda 97
object 96
audience 96
calls 96
per 96
photos 95
department 95
less 95
housing 95
images 94
scandal 94
didnt 94
individual 93
questions 93
keep 93
terms 92
war 92
microsoft 92
electoral 92
put 91
union 90
left 90
judge 90
event 90
individuals 90
women 90
able 90
regulation 89
permission 89
fact 89
study 88
changes 88
feed 88
provided 87
society 87
school 86
select 86
europe 86
agency 86
location 86
pixel 85
open 85
real 85
mcnamee 85
believe 85
permissions 85
process 85
collection 85
extension 85
influence 84
better 84
democratic 83
api 83
message 83
error 83
algorithm 83
code 83
act 83
publishers 83
subscribe 83
global 82
researchers 82
sms 82
health 82
kind 82
street 81
obamas 81
show 81
important 81
device 81
everyone 81
least 81
staff 81
valley 80
become 80
blockchain 80
human 79
yet 79
cnn 79
via 79
issue 79
unions 79
truth 79
password 79
alex 78
large 78
venmo 78
collins 78
democrats 78
contact 78
theyre 77
phil 77
pmt 77
sharing 77
model 77
children 77
far 77
bill 77
observer 77
home 77
credit 76
shares 76
black 76
2017. 76
response 76
question 76
activity 76
afp/getty 75
cant 75
referendum 75
theresa 75
science 75
testify 75
commercial 75
council 74
reuters 74
operation 74
probably 74
next 74
key 74
north 74
messages 73
s.e.c 73
thanks 73
israel 73
understand 73
customer 73
place 72
numbers 72
attention 72
nsa 72
2015 72
operations 71
trading 71
document 71
third-party 71
building 71
investment 71
done 71
parliament 71
bank 70
paid 70
across 70
korea 70
fund 70
behavior 70
engagement 69
anything 69
months 69
breitbart 69
south 69
local 69
mueller 68
third 68
country 68
asked 68
today 68
values 68
youtube 68
query 68
three 67
request 67
space 67
america 67
collected 67
tuesday 67
psychological 66
order 66
days 66
role 66
comments 66
vine 66
silence 66
single 66
firefox 66
stories 66
companys 65
provide 65
interests 65
networks 65
parakeelia 65
fraud 65
family 65
nothing 65
wall 65
deleted 64
models 64
harris 64
let 64
little 63
stop 63
interest 63
true 63
collect 63
seems 63
trying 63
identity 63
community 63
cloud 63
enforcement 63
letter 62
anyone 62
enough 62
log 62
ive 62
theres 62
kids 61
writing 61
silicon 61
took 61
executive 61
words 61
max 61
laws 61
donations 61
videos 61
design 61
create 61
executives 61
spending 61
application 61
countries 61
means 61
current 60
author 60
advertisement 60
technologies 60
judicial 60
funds 60
reported 59
china 59
citizens 59
guardian 59
language 59
option 59
eprivacy 59
named 59
firms 59
management 58
analyticas 58
review 58
action 58
run 58
computer 58
cent 58
brand 58
risk 57
feature 57
pages 57
film 57
likes 57
unlimited 57
defined 57
include 57
fear 57
2016. 57
characters 57
military 56
bad 56
australian 56
milner 56
