Token,Freq
2018-03-26,27
2018-03-20,27
2018-03-19,26
2018-03-17,15
2018-03-27,14
2018-05-25,9
2018-03-23,9
2018-03-18,9
2053-05-25,8
2017-11-20,8
2018-04-10,7
2018-02-27,7
2018-03-16,6
2015-12-25,5
2018-04-16,5
2018-03-07,5
2018-03-24,5
2018-03-21,5
2017-07-25,5
2016-08-25,4
2016-11-21,4
2015-05-13,4
2016-06-25,3
2014-07-25,3
2018-03-28,3
2017-02-25,3
2014-03-25,3
2018-03-25,3
2015-05-15,3
2018-03-22,3
2018-04-12,2
2018-05-07,2
2017-06-21,2
2018-03-10,2
2018-04-24,2
2018-04-17,2
2012-05-16,2
2012-08-25,2
2009-08-27,2
2016-06-24,2
2017-02-03,2
2017-05-25,2
2017-10-25,2
2017-01-17,2
2012-09-25,2
2018-04-13,2
2018-03-14,2
2018-05-02,2
2011-08-25,2
2017-09-11,2
2018-12-11,1
2018-02-08,1
2018-11-12,1
2015-04-10,1
2017-06-25,1
2018-02-15,1
2016-11-25,1
2015-11-13,1
2018-04-01,1
2014-05-25,1
2018-08-20,1
2018-07-13,1
2017-04-25,1
2013-03-15,1
2014-08-25,1
2016-12-25,1
2015-01-28,1
2015-08-25,1
2017-12-25,1
2018-07-10,1
2012-03-04,1
2017-11-25,1
2018-01-23,1
2018-03-06,1
2018-04-11,1
2018-01-25,1
2018-10-01,1
2017-08-25,1
2014-07-22,1
2006-10-25,1
2016-03-25,1
2017-01-25,1
2018-12-03,1
2013-11-07,1
2011-10-25,1
2013-06-12,1
2014-10-25,1
2018-03-15,1
2018-03-01,1
2018-05-18,1
2018-05-17,1
2018-05-16,1
2014-04-25,1
2014-06-25,1
2029-03-18,1
2018-11-20,1
2018-03-03,1
2015-10-13,1
2028-03-18,1
2034-04-25,1
2018-03-09,1
